,Trading Zone,Interval,ROPEX_DAM_H [Euro/MWh],Traded Volume [MWh],Traded Buy Volume [MWh],Traded Sell Volume [MWh],Date
0,Romania,1,57.25,3049.0,2944.2,3049.0,2017-01-01
1,Romania,2,50.21,2907.1,2642.6,2907.1,2017-01-01
2,Romania,3,44.04,2895.2,2847.9,2895.2,2017-01-01
3,Romania,4,32.81,2857.9,2857.9,2775.3,2017-01-01
4,Romania,5,28.41,2780.8,2780.8,2663.2,2017-01-01
5,Romania,6,24.02,2732.8,2708.5,2732.8,2017-01-01
6,Romania,7,15.6,2792.2,2438.1,2792.2,2017-01-01
7,Romania,8,14.52,2812.8,2471.5,2812.8,2017-01-01
8,Romania,9,16.7,2796.3,2469.5,2796.3,2017-01-01
9,Romania,10,21.19,2645.5,2445.0,2645.5,2017-01-01
10,Romania,11,32.81,2816.3,2408.7,2816.3,2017-01-01
11,Romania,12,37.22,2841.3,2403.3,2841.3,2017-01-01
12,Romania,13,44.04,2820.5,2382.5,2820.5,2017-01-01
13,Romania,14,45.32,2784.9,2404.6,2784.9,2017-01-01
14,Romania,15,41.34,2825.6,2397.0,2825.6,2017-01-01
15,Romania,16,44.17,2942.6,2680.8,2942.6,2017-01-01
16,Romania,17,52.98,3223.0,3066.6,3223.0,2017-01-01
17,Romania,18,59.68,3348.5,3074.2,3348.5,2017-01-01
18,Romania,19,59.68,3389.6,3136.6,3389.6,2017-01-01
19,Romania,20,57.97,3311.0,3121.8,3311.0,2017-01-01
20,Romania,21,57.96,3297.3,2936.2,3297.3,2017-01-01
21,Romania,22,51.97,3166.3,2912.2,3166.3,2017-01-01
22,Romania,23,43.51,3003.5,2606.8,3003.5,2017-01-01
23,Romania,24,42.78,3116.9,2826.9,3116.9,2017-01-01
24,Romania,1,24.84,2828.4,2522.2,2828.4,2017-01-02
25,Romania,2,23.45,2795.0,2433.4,2795.0,2017-01-02
26,Romania,3,20.89,2807.1,2394.3,2807.1,2017-01-02
27,Romania,4,19.95,2794.6,2397.1,2794.6,2017-01-02
28,Romania,5,22.81,2813.4,2455.1,2813.4,2017-01-02
29,Romania,6,26.15,2789.5,2746.0,2789.5,2017-01-02
30,Romania,7,28.63,3043.1,2605.1,3043.1,2017-01-02
31,Romania,8,46.24,3141.5,2703.5,3141.5,2017-01-02
32,Romania,9,56.81,3232.9,2794.9,3232.9,2017-01-02
33,Romania,10,39.64,3293.2,2855.2,3293.2,2017-01-02
34,Romania,11,37.22,3267.0,2829.0,3267.0,2017-01-02
35,Romania,12,32.81,3234.2,2796.2,3234.2,2017-01-02
36,Romania,13,33.91,3198.9,2760.9,3198.9,2017-01-02
37,Romania,14,32.81,3184.4,2746.4,3184.4,2017-01-02
38,Romania,15,32.81,3238.4,2800.4,3238.4,2017-01-02
39,Romania,16,54.59,3431.4,2993.4,3431.4,2017-01-02
40,Romania,17,59.68,3658.3,3220.3,3658.3,2017-01-02
